,drug_name,condition,rating,useful_count,nltkReviewScore
0,2348,368,9,27,0.8555
1,1061,42,8,192,0.8498
2,1371,121,5,17,0.8201
3,1683,121,8,10,0.7184
4,385,449,9,37,0.9403
5,498,116,2,43,-0.8331
6,1287,238,1,5,0
7,193,120,10,32,-0.9468
8,1220,247,1,11,-0.1386
9,886,121,8,1,0.8179
10,2246,398,9,19,0.5106
11,1239,201,10,54,0.6976
12,1755,182,4,8,-0.8402
13,685,180,4,1,0.3009
14,1587,121,3,10,0.763
15,1320,440,9,20,0.8106
16,2289,646,9,0,-0.8805
17,144,679,9,39,-0.8176
18,1254,120,10,18,0.024
19,1599,160,10,11,-0.9371
20,234,277,8,11,0.7667
21,2263,345,10,43,0.25
22,893,121,9,11,-0.7059
23,883,554,10,4,0.8555
24,2231,651,1,7,-0.34
25,270,155,7,7,-0.8402
26,802,307,10,99,-0.1174
27,641,42,10,11,-0.2771
28,228,470,6,47,0.9464
29,1145,397,8,6,-0.4201
30,2041,201,8,3,0.296
31,2248,466,10,16,-0.8836
32,2231,651,1,2,-0.4588
33,2377,355,8,15,0.7946
34,1497,456,10,82,-0.5562
35,769,175,1,10,-0.9685
36,1510,466,8,19,-0.5106
37,1515,126,2,0,-0.873
38,2286,537,9,45,0.624
39,966,651,8,9,-0.296
40,582,440,8,9,0.967
41,540,470,9,30,-0.7287
42,1435,408,5,55,0.0516
43,2365,201,4,3,-0.34
44,1268,290,10,0,0
45,1268,290,9,94,0.8977
46,2147,120,8,22,-0.5267
47,2172,464,4,10,-0.6815
48,752,646,7,44,-0.9131
49,768,212,10,24,0.34
50,1178,42,1,23,0
51,384,466,8,125,-0.2263
52,1900,90,1,16,-0.2534
53,1671,437,1,6,-0.7269
54,193,565,10,26,0.9859
55,1886,233,1,8,0.7212
56,1266,120,8,39,0.959
57,386,587,10,15,0.7717
58,1152,121,2,1,0.7901
59,799,82,6,23,-0.7096
60,762,121,3,8,0.1411
61,384,466,10,47,-0.8722
62,1152,121,1,2,0
63,1636,121,5,9,-0.886
64,1831,126,9,6,0.2003
65,2267,47,10,13,-0.3212
66,799,201,10,166,0.8436
67,1030,121,2,2,0.5267
68,889,47,9,7,0.8585
69,806,290,10,8,0.5673
70,538,675,10,74,0.3711
71,736,176,8,3,0.4404
72,143,178,10,35,0.8691
73,893,121,10,1,0.296
74,1587,121,6,1,0.8439
75,2045,248,10,14,-0.69
76,1328,121,2,5,0.4753
77,1268,290,10,36,-0.1045
78,2041,470,10,28,0.8999
79,1704,632,7,15,-0.9524
80,2418,201,4,15,-0.9275
81,1636,121,7,9,-0.6908
82,1287,121,1,10,0.25
83,1782,175,9,120,0.8074
84,1570,641,1,18,0
85,1323,120,10,27,0.2225
86,1710,162,8,24,0.2792
87,498,116,10,132,0.9632
88,874,98,9,128,0.5659
89,2105,121,3,3,-0.8908
90,242,583,9,37,0.5459
91,1503,651,8,5,-0.5572
92,1795,238,9,26,-0.5697
93,119,623,10,87,-0.5511
94,972,385,2,18,-0.9562
95,193,201,4,33,-0.6997
96,1636,121,5,0,0.3689
97,2101,47,9,31,0.8672
98,981,83,9,44,-0.9468
99,1381,646,1,16,-0.7845
100,1367,565,8,0,-0.4243
101,60,47,8,12,0.9254
102,358,557,1,16,-0.8183
103,150,303,10,10,0.5994
104,1332,21,3,2,-0.9412
105,1310,355,8,17,0.0348
106,1494,82,8,72,-0.3612
107,34,466,8,3,-0.8981
108,1192,47,7,10,0
109,1982,552,10,14,0.2796
110,2484,458,10,31,0
111,1247,120,9,46,0.5859
112,1287,121,10,1,0.7351
113,388,82,9,9,-0.5707
114,1870,82,10,40,-0.8358
115,983,42,9,48,-0.4574
116,886,121,9,10,0.8779
117,1204,121,8,10,0.4912
118,1285,134,8,20,-0.7584
119,1777,440,9,22,-0.9255
120,459,584,1,7,-0.0555
121,251,121,9,3,-0.0516
122,893,121,3,0,0.7722
123,2021,440,1,17,-0.8268
124,539,441,1,3,-0.5574
125,1408,242,9,51,0.8925
126,886,121,10,23,0.8225
127,57,47,8,7,0.8834
128,1592,587,8,50,-0.6815
129,685,180,1,3,-0.2023
130,1549,449,6,14,0.943
131,1941,360,9,40,0.228
132,657,121,6,1,0.5859
133,1645,120,9,9,0.9382
134,1713,464,9,60,0.7096
135,933,128,6,17,-0.9382
136,848,47,3,1,0.1712
137,893,121,9,8,0.5191
138,1287,121,2,2,0.8363
139,848,47,10,34,-0.4168
140,16,47,9,9,-0.7003
141,2427,470,10,41,-0.6705
142,669,201,10,101,0.875
143,1287,121,3,4,-0.9409
144,1220,574,9,11,0.2732
145,768,212,9,12,-0.9059
146,1510,162,5,54,-0.944
147,1372,427,1,13,0.5074
148,972,201,1,19,0
149,1772,572,8,44,0.4019
150,893,121,5,6,-0.8271
151,386,201,4,0,0.6801
152,889,121,5,4,-0.7409
153,1587,121,4,4,-0.9468
154,1331,395,8,5,0.3626
155,893,121,9,104,-0.5267
156,2172,116,5,12,0.7184
157,1342,60,10,21,-0.836
158,436,116,10,55,0.7263
159,2391,385,10,117,0.6407
160,1493,121,9,4,-0.6858
161,887,121,10,115,0.7068
162,1868,74,10,6,-0.6705
163,412,466,1,0,-0.8136
164,1113,642,1,57,-0.9118
165,1346,440,10,46,-0.9186
166,1167,211,1,12,0.5657
167,2290,201,5,28,0.358
168,1365,242,6,8,-0.9173
169,1287,121,10,1,-0.5893
170,2454,408,10,74,0.7096
171,1470,651,1,6,-0.5267
172,1668,466,2,12,0.1316
173,57,47,10,6,0.9129
174,1876,45,10,111,-0.1531
175,1367,120,7,36,-0.872
176,1777,665,8,38,-0.4823
177,1310,177,6,49,-0.7184
178,707,651,10,55,0.4902
179,1131,131,9,48,0.8016
180,1320,212,5,18,0.128
181,1921,121,6,3,-0.7125
182,386,201,10,14,0.92
183,1322,303,10,55,0.8602
184,889,121,3,2,0.6408
185,823,212,10,47,0.4983
186,1556,480,3,1,-0.7003
187,156,285,2,4,-0.6486
188,1493,121,10,16,0.9413
189,1460,95,10,30,-0.6249
190,1545,178,3,44,-0.9831
191,119,82,10,4,0
192,2068,121,6,1,-0.2228
193,1276,649,1,16,-0.875
194,1876,30,1,4,-0.9501
195,2316,238,10,10,0.2882
196,308,180,1,11,-0.3818
197,1587,121,4,3,-0.1531
198,2132,362,5,8,-0.9531
199,809,397,10,8,-0.1759
200,358,557,1,21,0.128
201,861,263,7,13,0.0018
202,772,89,5,31,0.1027
203,1460,303,2,19,0.683
204,1829,502,8,80,0.7406
205,1021,304,9,18,0.7184
206,654,120,1,35,0.3987
207,2212,329,10,15,-0.7633
208,2490,397,7,21,-0.3818
209,2414,42,9,11,0.9845
210,1408,45,8,6,0.6369
211,2231,651,10,25,0.4019
212,2082,47,8,12,0.6686
213,797,277,10,3,0.3804
214,1204,121,8,1,-0.5319
215,1447,322,4,3,-0.1027
216,1587,121,7,6,0.3875
217,1685,121,1,13,-0.9547
218,100,106,10,41,0.1511
219,2309,180,1,16,0
220,972,201,8,5,-0.95
221,2385,212,10,6,0.5106
222,1359,355,1,9,-0.5859
223,887,121,10,8,-0.7845
224,888,121,1,4,-0.9758
225,2096,290,1,4,-0.9312
226,2263,201,7,99,-0.1531
227,582,440,8,29,-0.5017
228,1846,201,6,13,0.8275
229,2197,69,10,19,0.4215
230,1540,554,4,31,-0.7783
231,1287,238,9,11,-0.6306
232,1152,121,1,0,0.3376
233,1416,456,10,26,0.2732
234,466,580,8,2,-0.34
235,861,263,5,7,0.25
236,1850,91,1,8,-0.4767
237,888,121,9,100,0.5423
238,1002,309,8,97,-0.9326
239,1930,397,10,6,0.8316
240,1286,201,1,41,-0.1103
241,2449,25,3,3,-0.9208
242,2349,298,9,17,-0.0546
243,527,108,10,19,-0.3641
244,373,82,6,14,0.3818
245,1794,238,10,17,-0.8058
246,2294,140,7,25,0.5719
247,2231,651,1,2,-0.5253
248,1321,42,10,65,0.7453
249,1320,212,10,6,0.4091
250,861,82,10,11,-0.6705
251,1002,466,6,22,-0.8883
252,1889,665,9,46,0.7709
253,1973,397,10,24,-0.1621
254,1320,212,10,13,0.9011
255,2471,47,10,11,0.7842
256,669,201,8,93,0.8658
257,354,217,10,5,0.5256
258,2391,385,7,48,0.8225
259,615,201,8,74,0.8923
260,2486,470,9,17,-0.9325
261,2234,408,10,80,0.1531
262,1332,30,2,4,-0.9165
263,1014,606,9,9,0.6597
264,2025,121,5,24,0
265,1030,121,1,7,-0.7523
266,160,42,10,15,-0.5017
267,1306,121,9,6,-0.077
